nominal;data;curs;cdx
1;05.07.2023;89,5450;Äמככאנ ÑØÀ
1;04.07.2023;89,3255;Äמככאנ ÑØÀ
1;01.07.2023;88,3844;Äמככאנ ÑØÀ
1;30.06.2023;87,0341;Äמככאנ ÑØÀ
1;29.06.2023;85,6192;Äמככאנ ÑØÀ
1;28.06.2023;85,0504;Äמככאנ ÑØÀ
1;27.06.2023;84,6642;Äמככאנ ÑØÀ
1;24.06.2023;84,0793;Äמככאנ ÑØÀ
1;23.06.2023;83,6077;Äמככאנ ÑØÀ
1;22.06.2023;84,2467;Äמככאנ ÑØÀ
1;21.06.2023;84,2336;Äמככאנ ÑØÀ
1;20.06.2023;83,9866;Äמככאנ ÑØÀ
1;17.06.2023;83,6498;Äמככאנ ÑØÀ
1;16.06.2023;83,9611;Äמככאנ ÑØÀ
1;15.06.2023;84,3249;Äמככאנ ÑØÀ
1;14.06.2023;83,6405;Äמככאנ ÑØÀ
1;10.06.2023;82,6417;Äמככאנ ÑØÀ
1;09.06.2023;82,0930;Äמככאנ ÑØÀ
1;08.06.2023;81,4581;Äמככאנ ÑØÀ
1;07.06.2023;81,2502;Äמככאנ ÑØÀ
1;06.06.2023;81,3294;Äמככאנ ÑØÀ
1;03.06.2023;80,8756;Äמככאנ ÑØÀ
1;02.06.2023;80,9657;Äמככאנ ÑØÀ
1;01.06.2023;80,9942;Äמככאנ ÑØÀ
